id,tenant_id,site_id,reported_by_id,title,description,incident_date,location,incident_type,severity,injury_occurred,injury_details,witnesses,root_cause,corrective_actions,preventative_measures,photo_urls,video_ids,document_urls,created_at,updated_at,is_active,status
3,1,1,4,Worker Fall from Scaffold,A worker fell approximately 6 feet from scaffold while installing drywall. The scaffold was missing proper guardrails.,2025-05-10 09:30:00,"Building A, 3rd Floor East Wing",Fall,major,t,Worker sustained a sprained ankle and bruised shoulder. Treated at St. Mary's Hospital and released the same day with 3 days of restricted duty.,"[""John Smith (Foreman)"", ""Maria Garcia (Safety Officer)""]",Improper scaffold assembly and missing guardrails. Pre-shift inspection was not conducted properly.,All scaffolds on site have been inspected and deficiencies corrected. Refresher training on scaffold safety conducted for all workers.,Implemented additional scaffold inspection checkpoints. Updated pre-shift inspection form with scaffold-specific items.,"[""https://source.unsplash.com/random/800x600?construction,fall""]",,,2025-05-22 11:36:56.258475,2025-05-22 11:36:56.258475,t,investigating
4,1,1,4,Electrical Shock Incident,Electrician received mild shock while working on a junction box that was incorrectly labeled as de-energized.,2025-05-15 14:45:00,"Building B, Electrical Room",Electrical,moderate,t,"Mild electrical shock to right hand. Worker was evaluated on-site by first aid team, no further medical treatment required.","[""Robert Johnson (Lead Electrician)""]",,,,"[""https://source.unsplash.com/random/800x600?electrical,construction""]",,,2025-05-22 11:36:56.258475,2025-05-22 11:36:56.258475,t,reported
5,1,1,4,Near Miss - Falling Object,"A hammer fell from the second floor, narrowly missing a worker below. No barricades were in place to prevent access to the area below overhead work.",2025-05-18 11:15:00,"Building A, Near South Entrance",Falling Object,critical,f,,"[""David Lee (Carpenter)"", ""Sarah Williams (Project Manager)""]",,Immediate stop-work called to secure all tools. Area below overhead work properly barricaded.,,"[""https://source.unsplash.com/random/800x600?construction,safety""]",,,2025-05-22 11:36:56.258475,2025-05-22 11:36:56.258475,t,investigating
6,1,1,4,Chemical Spill in Storage Area,"A 5-gallon container of concrete sealer was knocked over during inventory movement, resulting in a spill in the chemical storage area.",2025-05-21 16:30:00,"Main Storage Building, Chemical Section",Chemical Spill,minor,f,,,Improper storage of chemical containers. Containers were stacked too high without proper securing mechanism.,Spill contained and cleaned up according to SDS procedures. Storage racks reorganized with proper securing mechanisms.,Updated chemical storage procedures. Conducted training on proper handling and storage of chemicals.,"[""https://source.unsplash.com/random/800x600?chemical,spill""]",,,2025-05-22 11:36:56.258475,2025-05-22 11:36:56.258475,t,resolved
7,1,1,4,Equipment Malfunction - Tower Crane,Tower crane experienced unexpected alarm and automatic shutdown during lifting operation. Load was safely lowered prior to shutdown.,2025-05-22 10:00:00,Main Construction Area,Equipment Failure,major,f,,,Sensor malfunction in the crane's overload protection system triggered a false alarm.,Crane inspection conducted by certified technician. Faulty sensor replaced and system recalibrated.,Additional pre-operational checks added to daily crane inspection.,"[""https://source.unsplash.com/random/800x600?crane,construction""]",,,2025-05-22 11:36:56.258475,2025-05-22 11:36:56.258475,t,closed
9,1,1,13,Struck By incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-03-05 22:08:33.479,South entrance,Struck By,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,reported
10,1,1,7,Environmental incident at Harvard university campus 1,Chemical spill occurred in storage area. Approximately 2 gallons of paint thinner spilled. Area was contained and cleaned according to protocol.,2025-04-18 02:57:11.894,Electrical room,Environmental,critical,f,,,Investigation determined that the incident was caused by equipment failure,Actions taken: Procedures updated,To prevent recurrence: Daily equipment inspections,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
11,1,1,8,Fall incident at Harvard university campus 1,Worker slipped on wet floor where caution sign was not placed after mopping.,2025-02-26 21:25:02.3,"North wing, 3rd floor",Fall,minor,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
12,1,1,14,Equipment Failure incident at Harvard university campus 1,Electrical short in temporary wiring caused small fire. Fire was extinguished with nearby extinguisher. No structural damage.,2025-04-14 14:41:34.903,"North wing, 3rd floor",Equipment Failure,minor,t,Worker received minor injury requiring first aid.,,Investigation determined that the incident was caused by equipment failure,Actions taken: Additional training implemented,To prevent recurrence: Improved signage installed,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
13,1,1,8,Slip/Trip incident at Harvard university campus 1,Heavy equipment operator reported near-miss with pedestrian worker who entered operational zone without authorization.,2025-03-22 12:23:35.581,West loading dock,Slip/Trip,minor,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,reported
14,1,1,6,Electrical incident at Harvard university campus 1,Excavation wall partially collapsed during heavy rain. No workers were in the trench at the time.,2025-03-18 16:44:59.756,Equipment yard,Electrical,moderate,f,,,Investigation determined that the incident was caused by environmental factors,Actions taken: Environmental controls improved,To prevent recurrence: Improved signage installed,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
15,1,1,14,Fall incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-04-29 07:41:40.14,South entrance,Fall,moderate,f,,,Investigation determined that the incident was caused by equipment failure,Actions taken: Equipment replaced,To prevent recurrence: Daily equipment inspections,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
16,1,1,7,Other incident at Harvard university campus 1,Heavy equipment operator reported near-miss with pedestrian worker who entered operational zone without authorization.,2025-02-23 08:48:28.459,East stairwell,Other,minor,f,,,Investigation determined that the incident was caused by environmental factors,Actions taken: Environmental controls improved,To prevent recurrence: Enhanced monitoring process,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,closed
17,1,1,13,Other incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-05-11 21:51:56.055,Basement level,Other,major,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
18,1,1,8,Fall incident at Harvard university campus 1,Worker received minor cut on hand while using box cutter. First aid was administered on site.,2025-05-20 01:10:49.883,West loading dock,Fall,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,reported
19,1,1,7,Electrical incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-04-05 12:33:03.908,South entrance,Electrical,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,reported
20,1,1,16,Equipment Failure incident at Harvard university campus 1,Excavation wall partially collapsed during heavy rain. No workers were in the trench at the time.,2025-02-25 20:40:53.799,Storage room B,Equipment Failure,moderate,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
21,1,1,13,Other incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-03-10 22:09:45.527,Elevator shaft,Other,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
22,1,1,4,Fire/Explosion incident at Harvard university campus 1,Subcontractor was not wearing proper PPE while operating cutting tool.,2025-04-21 12:23:34.467,"North wing, 3rd floor",Fire/Explosion,critical,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
23,1,1,13,Chemical Spill incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-03-22 08:14:46.586,Main hallway,Chemical Spill,moderate,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
24,1,1,6,Fall incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-04-26 08:14:54.17,Main hallway,Fall,critical,f,,,Investigation determined that the incident was caused by inadequate training,Actions taken: Additional training implemented,To prevent recurrence: Regular safety training scheduled,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
25,1,1,4,Electrical incident at Harvard university campus 1,Electrical short in temporary wiring caused small fire. Fire was extinguished with nearby extinguisher. No structural damage.,2025-03-30 00:06:25.985,Storage room B,Electrical,minor,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
26,1,1,14,Slip/Trip incident at Harvard university campus 1,Excavation wall partially collapsed during heavy rain. No workers were in the trench at the time.,2025-04-01 19:30:56.617,East stairwell,Slip/Trip,critical,f,,,Investigation determined that the incident was caused by inadequate training,Actions taken: Equipment replaced,To prevent recurrence: Improved signage installed,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
27,1,1,4,Caught In/Between incident at Harvard university campus 1,Worker slipped on wet floor where caution sign was not placed after mopping.,2025-04-25 09:58:38.965,Storage room B,Caught In/Between,critical,f,,,Investigation determined that the incident was caused by environmental factors,Actions taken: Additional training implemented,To prevent recurrence: Daily equipment inspections,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,closed
28,1,1,14,Vehicle Accident incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-03-23 09:05:56.492,Scaffolding on north face,Vehicle Accident,major,t,Worker received minor injury requiring first aid.,,Investigation determined that the incident was caused by inadequate training,Actions taken: Environmental controls improved,To prevent recurrence: Regular safety training scheduled,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,resolved
29,1,1,7,Equipment Failure incident at Harvard university campus 1,Water pipe burst causing flooding in basement level. Electrical equipment was exposed to water.,2025-03-31 13:36:56.173,Elevator shaft,Equipment Failure,minor,f,,,Investigation determined that the incident was caused by equipment failure,Actions taken: Procedures updated,To prevent recurrence: Daily equipment inspections,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,closed
30,1,1,13,Environmental incident at Harvard university campus 1,Vehicle backed into scaffold structure causing partial collapse. No injuries but equipment damage occurred.,2025-03-08 00:40:04.397,"North wing, 3rd floor",Environmental,moderate,f,,,Investigation determined that the incident was caused by inadequate training,Actions taken: Additional training implemented,To prevent recurrence: Enhanced monitoring process,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,closed
31,1,1,6,Caught In/Between incident at Harvard university campus 1,Excavation wall partially collapsed during heavy rain. No workers were in the trench at the time.,2025-05-22 01:39:16.27,Scaffolding on north face,Caught In/Between,minor,t,Worker received minor injury requiring first aid.,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,reported
32,1,1,6,Security incident at Harvard university campus 1,Chemical spill occurred in storage area. Approximately 2 gallons of paint thinner spilled. Area was contained and cleaned according to protocol.,2025-03-12 00:25:42.047,South entrance,Security,minor,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
33,1,1,13,Other incident at Harvard university campus 1,Electrical short in temporary wiring caused small fire. Fire was extinguished with nearby extinguisher. No structural damage.,2025-02-26 19:45:52.826,East stairwell,Other,minor,f,,,,,,,,,2025-05-22 11:58:28.458605,2025-05-22 11:58:28.458605,t,investigating
